airportCode,airportName,cityCode,cityName,countryName,countryCode
PHY,Phetchabun,PHY,Phetchabun,Thailand,TH
PHZ,Phi Phi Island,PHZ,Phi Phi Island,Thailand,TH
PIA,Greater Peoria,PIA,"Peoria, IL",United States,US
PIB,Hattiesburg-Laurel Regional,PIB,"Hattiesburg/Laurel, MS",United States,US
PIC,Pine Cay,PIC,Pine Cay,Turks and Caicos Islands,TC
PID,Paradise Island,PID,Nassau,Bahamas,BS
PIE,St. Petersburg-Clearwater Intl.,PIE,Clearwater,United States,US
PIF,Pingtung,PIF,Pingtung,Taiwan,TW
PIG,Pitinga,PIG,Pitinga,Brazil,BR
PIH,Pocatello,PIH,Pocatello,United States,US
PII,Phillips Field,PII,Fairbanks,United States,US
PIK,Prestwick,GLA,Glasgow,United Kingdom,GB
PIL,Pilar,PIL,Pilar,Paraguay,PY
PIM,Garden Harris County,PIM,Pine Mountain,United States,US
PIN,Parintins,PIN,Parintins,Brazil,BR
PIO,Pisco,PIO,Pisco,Peru,PE
PIP,Pilot Point,PIP,Pilot Point,United States,US
PIQ,Pipillipai,PIQ,Pipillipai,Guyana,GY
PIR,Pierre,PIR,Pierre,United States,US
PIS,Biard,PIS,Poitiers,France,FR
PIT,Pittsburgh Intl.,PIT,"Pittsburgh, PA",United States,US
PIU,Piura,PIU,Piura,Peru,PE
PIV,Pirapora,PIV,Pirapora,Brazil,BR
PIW,Pikwitonei,PIW,Pikwitonei,Canada,CA
PIX,Pico Island,PIX,Pico Island,Portugal,PT
PIZ,Dew Station,PIZ,Point Lay,United States,US
PJA,Pajala,PJA,Pajala,Sweden,SE
PJB,Payson,PJB,Payson,United States,US
PJC,Pedro Juan Caballero,PJC,Pedro Juan Caballero,Paraguay,PY
PJG,Panjgur,PJG,Panjgur,Pakistan,PK
PJM,Puerto Jimenez,PJM,Puerto Jimenez,Costa Rica,CR
PJS,Port San Juan,PJS,Port San Juan,United States,US
PJZ,Puerto Vallarta,PJZ,Puerto Juarez,Mexico,MX
PKA,SPB,PKA,Napaskiak,United States,US
PKB,Wood County,PKB,Parkersburg,United States,US
PKC,Petropavlovsk-Kamchats,PKC,Petropavlovsk-Kamchats,Russian Federation,RU
PKD,Park Rapids,PKD,Park Rapids,United States,US
PKE,Parkes,PKE,Parkes,Australia,AU
PKF,Park Falls,PKF,Park Falls,United States,US
PKH,Alexion,PKH,Porto Kheli,Greece,GR
PKJ,Playa Grande,PKJ,Playa Grande,Guatemala,GT
PKK,Pakokku,PKK,Pakokku,Myanmar,MM
